time,data,median,LB,UB
0,1,1,1,1
1,1,0,0,1
2,0,0,0,1
3,0,0,0,1
4,0,0,0,1
5,0,0,0,1
6,1,0,0,1
7,0,0,0,1
8,1,0,0,2
9,1,0,0,2
10,1,0,0,2
11,1,0,0,2
12,1,0,0,2
13,2,0,0,2
14,0,0,0,2
15,0,0,0,2
16,1,0,0,2
17,0,0,0,2
18,2,0,0,2
19,2,0,0,2
20,2,0,0,3
21,1,0,0,3
22,0,0,0,3
23,0,1,0,3
24,0,1,0,3
25,0,1,0,3
26,0,1,0,3
27,0,1,0,3
28,2,1,0,4
29,0,1,0,4
30,1,1,0,4
31,0,1,0,4
32,1,1,0,4
33,0,1,0,4
34,0,1,0,4
35,3,1,0,4
36,1,1,0,5
37,5,2,0,5
38,5,2,0,5
39,1,2,0,5
40,1,2,0,5
41,0,2,0,6
42,2,2,0,6
43,1,2,0,6
44,0,2,0,6
45,0,3,0,7
46,0,3,0,7
47,1,3,0,7
48,2,3,0,7
49,3,3,0,7
50,11,3,0,8
51,4,3,0,8
52,4,4,1,8
53,2,4,1,9
54,2,4,1,9
55,5,4,1,9
56,3,5,1,9.5
57,14,5,1,10
58,9,5,1,10
59,6,5,1,11
60,2,5,1,11
61,10,6,2,12
62,2,6,2,12
NaN,NaN,6,2,13
NaN,NaN,7,2,13
NaN,NaN,7,2,13
NaN,NaN,7,2,14
